매장명,도로명주소,매장유형,위도,경도
대박마라탕 강진점,전라남도 강진군 강진읍 보은로1길 25,음식점 및 주점업,34.6382825,126.7693967
응응스크르 강진탐진점,전라남도 강진군 강진읍 탐진로 68,소매업; 자동차 제외,34.6385474,126.7644043
봄날 뷰티케어,전라남도 강진군 강진읍 탐진로 88,기타 개인 서비스업,34.639923,126.765787
동명페인트，유리,전라남도 강진군 강진읍 영랑로 42,소매업; 자동차 제외,34.6394009,126.7679915
부성파크모텔,전라남도 강진군 강진읍 영랑로2길 6 부성파크모텔,숙박업,34.6377653,126.7696227
강진청자촌오토캠핑장,전라남도 강진군 대구면 청자촌길 33 .,스포츠 및 오락관련 서비스업,34.5086912,126.80089
그린슈퍼,"전라남도 강진군 대구면 중저길 15-34, 2호",소매업; 자동차 제외,34.5351084,126.7902547
태국전통마사지,"전라남도 강진군 강진읍 영랑로1길 5, 1층",기타 개인 서비스업,34.637575,126.7697834
우성식당,전라남도 강진군 강진읍 남문길 2,음식점 및 주점업,34.6401569,126.7693185
가을걷이,전라남도 강진군 성전면 송계로 850-4,음식점 및 주점업,34.6879643,126.7132622
수협회센터,전남 강진군 마량면 미항로 189,음식점 및 주점업,34.4489662,126.8227871
세븐일레븐 강진다산점,전라남도 강진군 강진읍 보은로안길 22,소매업; 자동차 제외,34.6380715,126.7727039
성모의원,전남 강진군 강진읍 영랑로 25,보건업,34.6379353,126.7686432
유)대박황칠코리아,전라남도 강진군 강진읍 덕남로 87,음식점 및 주점업,34.6141539,126.7552578
굽네치킨 전남강진점,전라남도 강진군 강진읍 탐진로 65,음식점 및 주점업,34.6385883,126.7639241
강진자동차운전전문학원(유),전남 강진군 성전면 송계로 629-21,교육 서비스업,34.6743746,126.7263561
김혜정미용실,전라남도 강진군 강진읍 영랑로3길 24-1,기타 개인 서비스업,34.6391195,126.7708572
찬찬 통 삼겹살,전라남도 강진군 강진읍 탐진로 65,음식점 및 주점업,34.6385883,126.7639241
