매장명,도로명주소,매장유형,위도,경도
물레방아식당,경상남도 합천군 야로면 가야산로 759,음식점 및 주점업,35.7369778,128.1539577
해월,경상남도 합천군 합천읍 충효로 97-8,음식점 및 주점업,35.5691838,128.1608171
오꾸닭 합천점,경상남도 합천군 합천읍 충효로 106-15,음식점 및 주점업,35.5700792,128.1633112
싸이언pc방,경상남도 합천군 합천읍 동서로 85,스포츠 및 오락관련 서비스업,35.567091,128.1617604
강파도예,경남 합천군 가야면 가야산로 1339,비금속 광물제품 제조업,35.7773006,128.1263515
꽃돌가든식당,경상남도 합천군 대병면 서부로 1985,음식점 및 주점업,35.5203844,128.0180919
자야네,경상남도 합천군 합천읍 옥산로 25-1,음식점 및 주점업,35.5689703,128.1579135
초계1급자동차정비공장,경상남도 합천군 초계면 초계중앙로 121,개인 및 소비용품 수리업,35.5573721,128.2733282
e경남몰(경남),대전광역시 동구 동대전로 332 (가양동),소매업; 자동차 제외,36.3501784,127.443107
저니스 경남합천학원,경상남도 합천군 합천읍 동서로 82-1,교육 서비스업,35.5669115,128.1613788
예담,경상남도 합천군 합천읍 충효로3길 6,음식점 및 주점업,35.5659009,128.1613772
적교추어탕,경상남도 합천군 청덕면 의합대로 2929,음식점 및 주점업,35.5270133,128.358232
꽃돼지,경상남도 합천군 합천읍 강변로 69,음식점 및 주점업,35.5707961,128.1618916
좋으니불자리,경상남도 합천군 봉산면 권빈2길 12-2,도매 및 상품 중개업,35.6332872,128.0643087
카스,경상남도 합천군 합천읍 충효로 81-21,음식점 및 주점업,35.5674272,128.1601533
진미가득찬 성우슈퍼,경상남도 합천군 합천읍 중앙로2길 10(성우아파트),음식점 및 주점업,35.564731,128.1594484
한우리독서토론논술,경상남도 합천군 합천읍 동서로 83-1,교육 서비스업,35.5671504,128.1616052
로타리 휴대폰,"경상남도 합천군 합천읍 동서로 98, 1층 101호",소매업; 자동차 제외,35.5662354,128.1625785
대성에너지산업,경상남도 합천군 합천읍 옥산로 18(아담빌라),소매업; 자동차 제외,35.5686258,128.157166
새싹발아통밀빵,경상남도 합천군 가회면 신등가회로 1011-23,도매 및 상품 중개업,35.4439684,128.0413191
시은이네,경상남도 합천군 삼가면 삼가로 418,음식점 및 주점업,35.4157293,128.13068
점프업,경남 합천군 합천읍 충효로 66,소매업; 자동차 제외,35.5662658,128.1612673
비에이치씨(BHC)합천청덕점,경상남도 합천군 청덕면 의합대로 2894,음식점 및 주점업,35.5238689,128.3586181
칠리칠리양념통닭,경남 합천군 합천읍 충효로4길 6,음식점 및 주점업,35.5664581,128.1606466
약산고을건강촌,경남 합천군 대병면 유전뒤밭길 21-9,식료품 제조업,35.5407141,127.9908346
비하이브,경상남도 합천군 대병면 합천호수로 9,음식점 및 주점업,35.5205646,128.0199863
시온자재산업,경남 합천군 합천읍 중앙로1길 9-5,소매업; 자동차 제외,35.5641666,128.1588398
만수사우나,경상남도 합천군 합천읍 중앙로 76-9,기타 개인 서비스업,35.5675498,128.1592342
쌍백목욕탕,경상남도 합천군 쌍백면 쌍백중앙로 55,기타 개인 서비스업,35.4408442,128.1451488
대식한우명가,경남 합천군 용주면 합천호수로 873,음식점 및 주점업,35.5478654,128.0852204
에이플러스 수학교습소,경상남도 합천군 합천읍 충효로3길 6,교육 서비스업,35.5659009,128.1613772
e-합천해법학원,경상남도 합천군 합천읍 대야로 871,교육 서비스업,35.5661073,128.1627878
세운정육점,경상남도 합천군 합천읍 동서로 20,소매업; 자동차 제외,35.5683937,128.1549586
옛날밥상,경상남도 합천군 합천읍 동서로 51,음식점 및 주점업,35.5672593,128.157996
국수 전문점,경상남도 합천군 초계면 초계중앙로 70-1,음식점 및 주점업,35.5590732,128.2677084
샘물,경상남도 합천군 야로면 돈평길 91-7,소매업; 자동차 제외,35.7161698,128.1728971
가야농협야로주유소,경상남도 합천군 야로면 가야산로 680,소매업; 자동차 제외,35.7302369,128.1570851
교동비빔밥,경상남도 합천군 삼가면 소오길 40-7,음식점 및 주점업,35.4094871,128.117868
영창카서비스,경상남도 합천군 합천읍 강변로 101,개인 및 소비용품 수리업,35.569233,128.1584577
합천명품토종돼지,경상남도 합천군 묘산면 묘산로 223-4,소매업; 자동차 제외,35.6610632,128.1176947
탑잉글리쉬영어학원,경상남도 합천군 합천읍 동서로 84,교육 서비스업,35.5666902,128.1614773
가야산토종보리수마을 ,경상남도 합천군 가야면 야천로 72,소매업; 자동차 제외,35.7701329,128.1405463
가야산토종보리수마을,경상남도 합천군 가야면 야천로 72,소매업; 자동차 제외,35.7701329,128.1405463
초계 보일러 설비,경상남도 합천군 초계면 초계중앙로 18,전문직별 공사업,35.5588679,128.2621862
이정쌤국어교습소,경남 합천군 합천읍 동서로 83-1,교육 서비스업,35.5671504,128.1616052
세븐일레븐 합천황강공원점,경상남도 합천군 합천읍 대야로 813,소매업; 자동차 제외,35.5614719,128.1606164
오늘쉐프,경상남도 합천군 합천읍 충효로 73-1,소매업; 자동차 제외,35.567013,128.1609702
페리카나치킨,경상남도 합천군 초계면 초계2길 12-7,음식점 및 주점업,35.5581352,128.2670038
종합동물약품 주식회사,경남 합천군 대양면 동부로 7,소매업; 자동차 제외,35.5565476,128.1627059
마시그래이 합천점,경상남도 합천군 합천읍 대야로 884,음식점 및 주점업,35.5671404,128.163363
셀프밥상,경남 합천군 합천읍 충효로4길 13,음식점 및 주점업,35.5665342,128.1597001
탑치과,경상남도 합천군 합천읍 대야로 891,보건업,35.5680037,128.1630475
이마트24 합천회양점,경상남도 합천군 대병면 서부로 1971-6,소매업; 자동차 제외,35.5197335,128.0189521
초계한우식당,경상남도 합천군 초계면 아막재로 32,음식점 및 주점업,35.5618286,128.2690184
(주)라파클린텍,경상남도 합천군 초계면 동부로 1049,"의료, 정밀, 광학 기기 및 시계 제조업",35.5620731,128.2535024
초계1급자동차정비,경상남도 합천군 초계면 초계중앙로 121,개인 및 소비용품 수리업,35.5573721,128.2733282
합천토탈건재,경남 합천군 합천읍 옥산로 109,소매업; 자동차 제외,35.5680631,128.1670949
아람참기름집,경상남도 합천군 삼가면 삼가중앙1길 16 아람참기름,소매업; 자동차 제외,35.4134667,128.1210573
OK부동산 공인중개사 사무소,경상남도 합천군 합천읍 대야로 884,부동산업,35.5671404,128.163363
꿀향가,경남 합천군 봉산면 서부로 4159,음식점 및 주점업,35.616761,128.0302868
주식회사동성황강휴게소,경남 합천군 대양면 대야로 748,소매업; 자동차 제외,35.5555958,128.1624743
백학인삼탕,"경상남도 합천군 삼가면 일부5길 1, 2동 9호(삼가시장2호)",음식점 및 주점업,35.4128146,128.1222832
