매장명,도로명주소,매장유형,위도,경도
지，정，의 학원,전라남도 영암군 삼호읍 삼호중앙로 234(2층),교육 서비스업,34.7455175,126.4763057
르네상스,전라남도 영암군 영암읍 월출로 9-6 르네상스모텔,숙박업,34.7956273,126.6851592
운유재민박,전라남도 영암군 군서면 상대포로 150-16,숙박업,34.7587541,126.6194074
중앙상회,전라남도 영암군 서호면 장동길 4 4,소매업; 자동차 제외,34.7552504,126.581211
서릿등,전라남도 영암군 도포면 회호정길 41-38,음식점 및 주점업,34.8508891525,126.6433306591
지은이네꽃집,전라남도 영암군 영암읍 교동로 40,소매업; 자동차 제외,34.7964403539,126.6895190374
마이컴퓨터,전라남도 영암군 삼호읍 대불주거로 34 마이컴퓨터,소매업; 자동차 제외,34.7453722,126.467733
우리동네 대불점,전라남도 영암군 삼호읍 대불주거7로 25,소매업; 자동차 제외,34.755087,126.4531516
대불고고 광택 셀프세차장,전라남도 영암군 삼호읍 대불주거5로 112,개인 및 소비용품 수리업,34.7526724,126.450775
휴아로마,전라남도 영암군 삼호읍 신항로 118 2층,기타 개인 서비스업,34.7484108,126.376166
휴림한옥펜션,전라남도 영암군 군서면 왕인로 476 휴림한옥펜션,숙박업,34.7596471,126.6304732
OK목장,"전라남도 영암군 삼호읍 신항로 135-30, 2층",음식점 및 주점업,34.7486273,126.3709438
카페크리스탈,전라남도 영암군 삼호읍 대불주거로 161-1,음식점 및 주점업,34.7530172,126.4571367
SG골프 삼호점,전라남도 영암군 삼호읍 대불주거5로 136,스포츠 및 오락관련 서비스업,34.7523836,126.4501686
에이치제이와이(H.J.Y),전라남도 영암군 삼호읍 신항로 63-7 현대삼호사원2차 208동1004호,음식점 및 주점업,34.7439513,126.38185
피자투어,전라남도 영암군 삼호읍 중앙촌길 17-6,음식점 및 주점업,34.7471609099,126.4682210017
삼호좋ㅈ은공부방,"전라남도 영암군 삼호읍 신항로 63-7, 210동 902호(삼호2차사원임대아파트)",교육 서비스업,34.7439513,126.38185
강선장,전라남도 영암군 영암읍 중앙로 74-1,음식점 및 주점업,34.8024882,126.6995473
다복양고기,전라남도 영암군 삼호읍 대불주거1로13길 8,음식점 및 주점업,34.7524406,126.4547947
대명지게차,전라남도 영암군 영암읍 중앙로 75 대성중기내,자동차 및 부품 판매업,34.802783,126.6992447
진 대리점,전라남도 영암군 덕진면 영보정길 10-14,자동차 및 부품 판매업,34.8298618,126.7330061
월요(月曜),전라남도 영암군 군서면 학암길 9-11,음식점 및 주점업,34.7630565,126.6278538
동해반점,전라남도 영암군 삼호읍 신항로 116-1,음식점 및 주점업,34.748485,126.3765507
진터농장,전라남도 영암군 금정면 쌍효길 85,농업,34.8545675,126.822345
김주리헤어샵,전라남도 영암군 삼호읍 신항로 135-25 축성암상가,기타 개인 서비스업,34.7483179,126.3734125
종원카센타,전라남도 영암군 삼호읍 세가래2길 5,개인 및 소비용품 수리업,34.7460802,126.475188
신세대머리방,전라남도 영암군 신북면 황금동로 71,기타 개인 서비스업,34.8882788,126.6918076
최강클래스학원,전라남도 영암군 영암읍 중앙로 16 2층  촤강클래스학원,교육 서비스업,34.7981158,126.6961881
백년뷔페,전라남도 영암군 삼호읍 녹색로 1500,음식점 및 주점업,34.7327539,126.522376
돈돼지삼겹살,전라남도 영암군 삼호읍 삼호중앙로 204-14,음식점 및 주점업,34.7441375158,126.4728487325
쉼,전라남도 영암군 군서면 월암길 57-11,숙박업,34.7734735,126.6504854
풍전그라찌에,전라남도 영암군 삼호읍 녹색로 1113,음식점 및 주점업,34.7509384,126.4863441
멕시칸치킨,"전라남도 영암군 삼호읍 신항로 63-7, 1층(삼호중공업 사원아파트내)",음식점 및 주점업,34.7439513,126.38185
대현이불상회,전라남도 영암군 학산면 독천로 178,소매업; 자동차 제외,34.7252264,126.568794
현대건축설비,전라남도 영암군 영암읍 새동네길 3,사업 지원 서비스업,34.7944347,126.6900532
개인교습소,"전라남도 영암군 영암읍 성밖1길 20, 703호",교육 서비스업,34.7952978,126.698546
GS칼텍스 OK주유소,전라남도 영암군 삼호읍 녹색로 1627,소매업; 자동차 제외,34.7330116,126.5353843
공원식당,전라남도 영암군 영암읍 군청로 2-18,음식점 및 주점업,34.799586106,126.6964214116
명당복권방,전라남도 영암군 삼호읍 삼호중앙로 203,음식점 및 주점업,34.7455291,126.4729869
쌍둥이네고기백화점,전라남도 영암군 삼호읍 신항로 74,소매업; 자동차 제외,34.7459598,126.379938
돼통령,전라남도 영암군 영암읍 동문안길 29,음식점 및 주점업,34.7984639,126.69922
대불편의점,전라남도 영암군 삼호읍 녹색로 1117-13,소매업; 자동차 제외,34.7456784515,126.4843397386
신대불세차장,전라남도 영암군 삼호읍 대불로 787,개인 및 소비용품 수리업,34.7751234,126.4312209
