매장명,도로명주소,매장유형,위도,경도
형제슈퍼,강원 횡성군 청일면 유동로 30-1,소매업; 자동차 제외,37.5840076,128.1519326
쥬얼리아횡성점,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
모티브,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
종합전자,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
어답산식당,강원 횡성군 갑천면,음식점 및 주점업,37.560967,128.110212
장미산장,강원 횡성군 우천면 전재로 234,음식점 및 주점업,37.4390864,128.0955127
타이어프로 횡성 안흥점,강원 횡성군 안흥면 서동로 1069,개인 및 소비용품 수리업,37.4086233,128.1502687
우리마을가든,강원 횡성군 청일면,음식점 및 주점업,37.583899,128.150266
만물공업사,강원 횡성군 둔내면,개인 및 소비용품 수리업,37.512233,128.218813
형제자동차공업사,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
호림촌두부,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
덕산가든,강원 횡성군 공근면 경강로 1263,음식점 및 주점업,37.5258093659,127.9327950376
시골집식당,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
국보당,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
횡성군실내수영장,강원 횡성군 횡성읍,스포츠 및 오락관련 서비스업,37.492351,127.992601
윤이네촌두부식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
예삐꽃방,강원 횡성군 횡성읍 문정로 7-6,소매업; 자동차 제외,37.4906654,127.9846576
선창목재 건재상사,강원 횡성군 횡성읍 횡성로 382,소매업; 자동차 제외,37.4870392317,127.9854191519
로타리슈퍼,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
지구촌전통가마솥설렁탕,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
호유카센타,강원 횡성군 횡성읍 읍상로 54,개인 및 소비용품 수리업,37.4904562,127.9889245
부안카서비스,강원 횡성군 서원면,개인 및 소비용품 수리업,37.487076,127.850463
횡성기아부품,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
서원자동차공업사,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
조가네,강원 횡성군 횡성읍 섬강로 347,음식점 및 주점업,37.5135515404,128.002951774
성일철강,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
가마치통닭새말점,강원 횡성군 우천면 한우로 1393,음식점 및 주점업,37.4504523,128.0742863
겨울여행,강원 횡성군 둔내면,숙박업,37.512233,128.218813
청일주말농원,강원 횡성군 청일면,음식점 및 주점업,37.583899,128.150266
현대윤활유,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
함흥냉면,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
강림주유소,강원 횡성군 강림면,소매업; 자동차 제외,37.36024,128.1254
횡성축산업협동조합,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
주)일진산업,강원 횡성군 공근면,소매업; 자동차 제외,37.536491,127.961752
차이원,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
바글바글감자탕,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
재헌농기계 정비공장,강원 횡성군 횡성읍 추동로 48,개인 및 소비용품 수리업,37.4865318,128.0355585
횡성화원,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
동횡성농업협동조합,강원 횡성군 우천면,소매업; 자동차 제외,37.459443,128.06235
델마트,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
"둔내농업협동조합(비료,농약)",강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
둔내농업협동조합(편의점),강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
둔내농업협동조합(주유소),강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
고명선혼수커텐,강원 횡성군 횡성읍 읍상서로7번길 24,소매업; 자동차 제외,37.4898015,127.9870965
한림서당,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
횡성족발,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
씨유(CU) 횡성둔내점,강원 횡성군 둔내면 둔내로 30,소매업; 자동차 제외,37.5125368,128.2140405
속실송어횟집,강원 횡성군 청일면,음식점 및 주점업,37.583899,128.150266
팔팔정육점식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
안흥농업협동조합(식잡),강원 횡성군 안흥면,소매업; 자동차 제외,37.412478,128.156058
성우농자재,강원 횡성군 둔내면 둔방로 10,소매업; 자동차 제외,37.5134764164,128.2112390392
안골막국수,강원 횡성군 횡성읍 태기로 9-2,음식점 및 주점업,37.4914242251,127.98443595
현대상사,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
비비큐(BBQ)둔내점,강원 횡성군 둔내면 둔내로 70-1,음식점 및 주점업,37.5114359,128.2181903
동일전자,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
태풍P.V.C상사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
동양농기구부품강원총판,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
횡성축산업협동조합,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
단골식당,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
삼성종합패션,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
만수식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
농업회사법인횡성농산(주),강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
스마트학생복,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
국제기계상회,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
서울타일,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
횡성불교사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
벽둥지,강원 횡성군 서원면,음식점 및 주점업,37.487076,127.850463
횡성한우곰탕,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
횡성자동차유리,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
꽃벼루식당,강원 횡성군 둔내면,음식점 및 주점업,37.512233,128.218813
수노아수예점,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
금성상회,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
토탈아트기획,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
권오순 수구레해장국,강원 횡성군 횡성읍 횡성로 269,음식점 및 주점업,37.4778877,127.9800717
선초밥,강원 횡성군 횡성읍 읍하로 51,음식점 및 주점업,37.4944724214,127.9888431266
횡성농업협동조합(농산물가공센터),강원 횡성군 횡성읍,기타 개인 서비스업,37.492351,127.992601
횡성농업협동조합(하나로마트),강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
횡성농업협동조합(경제사업부),강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
둔내약국,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
문화OK마트,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
다래한의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
큰집반점,강원 횡성군 횡성읍 횡성로 67,음식점 및 주점업,37.4608961,127.9744039
안흥농협강림지소,강원 횡성군 강림면,소매업; 자동차 제외,37.36024,128.1254
포도청해장국,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
어랑,강원 횡성군 둔내면 둔방로13번길 13,음식점 및 주점업,37.5128892219,128.2102379405
광희네식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
이레광고. 기획,강원 횡성군 횡성읍 삼일로81번길 31,소매업; 자동차 제외,37.4963547,127.9849647
지연치과의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
의료법인선덕의료재단,강원 횡성군 횡성읍,보건업,37.492351,127.992601
에스모텔,강원 횡성군 횡성읍 문정로30번길 7,숙박업,37.489012,127.9866345
한아름 마트,강원 횡성군 안흥면 안흥로 24-8,소매업; 자동차 제외,37.41153,128.156815
옛날안흥찐빵,강원 횡성군 안흥면 서동로 1164,음식점 및 주점업,37.4142809,128.1578795
이리가든,강원 횡성군 서원면,음식점 및 주점업,37.487076,127.850463
인희헤어라인,강원 횡성군 횡성읍,기타 개인 서비스업,37.492351,127.992601
강원식육점,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
문화헤어샵,강원 횡성군 둔내면,기타 개인 서비스업,37.512233,128.218813
강원천막사,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
마산정미소,강원 횡성군 횡성읍 마산로 11-10,소매업; 자동차 제외,37.4881203227,128.003511414
아카테미안경,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
깐순이식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
명수약국,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
폴라리스,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
강남해장국,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
횡성송어횟집,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
둔내농약백화점,강원 횡성군 둔내면 경강로둔방6길 10,소매업; 자동차 제외,37.5127259973,128.2130226341
대영자동차공업사,강원 횡성군 횡성읍,개인 및 소비용품 수리업,37.492351,127.992601
수련식당,강원 횡성군 공근면,음식점 및 주점업,37.536491,127.961752
하늘가축병원,강원 횡성군 횡성읍,"기타 전문, 과학 및 기술 서비스업",37.492351,127.992601
횡성가구마트,강원 횡성군 횡성읍 앞들서로27번길 9,소매업; 자동차 제외,37.4882394263,127.982118309
현대종합건재,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
앞뜰화로구이,강원 횡성군 횡성읍 앞들서2로 8,음식점 및 주점업,37.4903927,127.9827083
안흥종합철물,강원 횡성군 안흥면,소매업; 자동차 제외,37.412478,128.156058
보라머리방,강원 횡성군 횡성읍,기타 개인 서비스업,37.492351,127.992601
안흥골농장,강원 횡성군 안흥면 서동로상안2길 36,소매업; 자동차 제외,37.4112444,128.18655
흥농종묘사,강원 횡성군 안흥면,소매업; 자동차 제외,37.412478,128.156058
애기돼지식육점,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
횡성스포랜드(주),강원 횡성군 공근면,스포츠 및 오락관련 서비스업,37.536491,127.961752
리더스학원,강원 횡성군 횡성읍 읍하남로13번길 15,교육 서비스업,37.4941989,127.9877152
씨유횡성점,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
이모네식당,강원 횡성군 강림면 강림시장길 15-1,음식점 및 주점업,37.3601801,128.1289715
예지,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
고향산천,강원 횡성군 서원면,음식점 및 주점업,37.487076,127.850463
강남식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
명동닭갈비,강원 횡성군 횡성읍 문정로 22,음식점 및 주점업,37.4896541,127.9857948
용일철물,강원 횡성군 횡성읍 문정로 48,소매업; 자동차 제외,37.4885843,127.988543
횡성쌀밥집,강원 횡성군 우천면,음식점 및 주점업,37.459443,128.06235
경원참숯,강원 횡성군 우천면,기타 개인 서비스업,37.459443,128.06235
집현전입시학원,강원 횡성군 횡성읍,교육 서비스업,37.492351,127.992601
횡성중앙의원,강원 횡성군 횡성읍,보건업,37.492351,127.992601
우주카공업사,강원 횡성군 횡성읍 입석로 79,개인 및 소비용품 수리업,37.4817973,127.9870503
공항길식당,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
뿌리숯불갈비식당,강원 횡성군 안흥면,음식점 및 주점업,37.412478,128.156058
광고뱅크,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
태성상회,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
우리문구완구,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
튼튼약국,강원 횡성군 안흥면 안흥로 32-5,소매업; 자동차 제외,37.4122820766,128.1572217425
그린씽크공장,강원 횡성군 횡성읍 화성로 15-8,소매업; 자동차 제외,37.4928057872,127.9883777465
춘자곱창구이,강원 횡성군 횡성읍,음식점 및 주점업,37.492351,127.992601
부흥당,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
태풍식육점,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
승희네해물나라,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
원흥장여관,강원 횡성군 횡성읍,숙박업,37.492351,127.992601
튼튼한의원,강원 횡성군 횡성읍 앞들서1로 12,보건업,37.4877393,127.9836121
우리카센타,강원 횡성군 횡성읍 앞들동2로 36-10,개인 및 소비용품 수리업,37.4847724403,127.9851260135
횡성BYC,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
새말현대카공업사,강원 횡성군 우천면,개인 및 소비용품 수리업,37.459443,128.06235
섬강디자인,강원 횡성군 횡성읍 수류암로 384,소매업; 자동차 제외,37.4818683,127.9803393
성우리조트스키일일사,강원 횡성군 둔내면,소매업; 자동차 제외,37.512233,128.218813
물망초화장품,강원 횡성군 횡성읍,소매업; 자동차 제외,37.492351,127.992601
